Grid-cell,Longitude,Latitude
609,7.75,34.25
610,8.25,34.25
611,8.75,34.25
612,9.25,34.25
613,9.75,34.25
614,36.25,34.25
615,36.75,34.25
616,37.25,34.25
617,37.75,34.25
618,38.25,34.25
619,38.75,34.25
620,39.25,34.25
621,39.75,34.25
622,40.25,34.25
623,40.75,34.25
624,41.25,34.25
625,41.75,34.25
626,42.25,34.25
627,42.75,34.25
628,43.25,34.25
629,43.75,34.25
630,44.25,34.25
631,44.75,34.25
632,0.25,34.75
633,0.75,34.75
634,1.25,34.75
635,1.75,34.75
636,2.25,34.75
637,2.75,34.75
638,3.25,34.75
639,3.75,34.75
640,4.25,34.75
641,4.75,34.75
642,5.25,34.75
643,5.75,34.75
644,6.25,34.75
645,6.75,34.75
646,7.25,34.75
647,7.75,34.75
648,8.25,34.75
649,8.75,34.75
650,9.25,34.75
651,9.75,34.75
652,10.25,34.75
653,10.75,34.75
654,36.75,34.75
655,37.25,34.75
656,37.75,34.75
657,38.25,34.75
658,38.75,34.75
659,39.25,34.75
660,39.75,34.75
661,40.25,34.75
662,40.75,34.75
663,41.25,34.75
664,41.75,34.75
665,42.25,34.75
666,42.75,34.75
667,43.25,34.75
668,43.75,34.75
669,44.25,34.75
670,44.75,34.75
671,0.25,35.25
672,0.75,35.25
673,1.25,35.25
674,1.75,35.25
675,2.25,35.25
676,2.75,35.25
677,3.25,35.25
678,3.75,35.25
679,4.25,35.25
680,4.75,35.25
681,5.25,35.25
682,5.75,35.25
683,6.25,35.25
684,6.75,35.25
685,7.25,35.25
686,7.75,35.25
687,8.25,35.25
688,8.75,35.25
689,9.25,35.25
690,9.75,35.25
691,10.25,35.25
692,10.75,35.25
693,25.25,35.25
694,25.75,35.25
695,32.75,35.25
696,33.25,35.25
697,33.75,35.25
698,36.75,35.25
699,37.25,35.25
700,37.75,35.25
701,38.25,35.25
702,38.75,35.25
703,39.25,35.25
704,39.75,35.25
705,40.25,35.25
706,40.75,35.25
707,41.25,35.25
708,41.75,35.25
709,42.25,35.25
710,42.75,35.25
711,43.25,35.25
712,43.75,35.25
713,44.25,35.25
714,44.75,35.25
715,0.25,35.75
716,0.75,35.75
717,1.25,35.75
718,1.75,35.75
719,2.25,35.75
720,2.75,35.75
721,3.25,35.75
722,3.75,35.75
723,4.25,35.75
724,4.75,35.75
725,5.25,35.75
726,5.75,35.75
727,6.25,35.75
728,6.75,35.75
729,7.25,35.75
730,7.75,35.75
731,8.25,35.75
732,8.75,35.75
733,9.25,35.75
734,9.75,35.75
735,10.25,35.75
736,10.75,35.75
737,36.25,35.75
738,36.75,35.75
739,37.25,35.75
740,37.75,35.75
741,38.25,35.75
742,38.75,35.75
743,39.25,35.75
744,39.75,35.75
745,40.25,35.75
746,40.75,35.75
747,41.25,35.75
748,41.75,35.75
749,42.25,35.75
750,42.75,35.75
751,43.25,35.75
752,43.75,35.75
753,44.25,35.75
754,44.75,35.75
755,0.75,36.25
756,1.25,36.25
757,1.75,36.25
758,2.25,36.25
759,2.75,36.25
760,3.25,36.25
761,3.75,36.25
762,4.25,36.25
763,4.75,36.25
764,5.25,36.25
765,5.75,36.25
766,6.25,36.25
767,6.75,36.25
768,7.25,36.25
769,7.75,36.25
770,8.25,36.25
771,8.75,36.25
772,9.25,36.25
773,9.75,36.25
774,10.25,36.25
775,36.75,36.25
776,37.25,36.25
777,37.75,36.25
778,38.25,36.25
779,38.75,36.25
780,39.25,36.25
781,39.75,36.25
782,40.25,36.25
783,40.75,36.25
784,41.25,36.25
785,41.75,36.25
786,42.25,36.25
787,42.75,36.25
788,43.25,36.25
789,43.75,36.25
790,44.25,36.25
791,44.75,36.25
792,2.75,36.75
793,3.25,36.75
794,3.75,36.75
795,4.25,36.75
796,4.75,36.75
797,5.25,36.75
798,5.75,36.75
799,6.25,36.75
800,6.75,36.75
801,7.25,36.75
802,7.75,36.75
803,8.25,36.75
804,8.75,36.75
805,9.25,36.75
806,9.75,36.75
807,10.25,36.75
808,10.75,36.75
809,22.75,36.75
810,29.75,36.75
811,30.25,36.75
812,30.75,36.75
813,32.75,36.75
814,33.25,36.75
815,33.75,36.75
816,34.25,36.75
817,35.75,36.75
818,36.75,36.75
819,37.25,36.75
820,37.75,36.75
821,38.25,36.75
822,38.75,36.75
823,39.25,36.75
824,39.75,36.75
825,40.25,36.75
826,40.75,36.75
827,41.25,36.75
828,41.75,36.75
829,42.25,36.75
830,42.75,36.75
831,43.25,36.75
832,43.75,36.75
833,44.25,36.75
834,44.75,36.75
835,9.75,37.25
836,14.75,37.25
837,15.25,37.25
838,22.25,37.25
839,22.75,37.25
840,27.75,37.25
841,28.25,37.25
842,28.75,37.25
843,29.25,37.25
844,29.75,37.25
845,30.75,37.25
846,31.25,37.25
847,31.75,37.25
848,32.25,37.25
849,32.75,37.25
850,33.25,37.25
851,33.75,37.25
852,34.25,37.25
853,34.75,37.25
854,35.25,37.25
855,35.75,37.25
856,36.25,37.25
857,36.75,37.25
858,37.25,37.25
859,37.75,37.25
860,38.25,37.25
861,38.75,37.25
862,39.25,37.25
863,39.75,37.25
864,40.25,37.25
865,40.75,37.25
866,41.25,37.25
867,41.75,37.25
868,42.25,37.25
869,42.75,37.25
870,43.25,37.25
871,43.75,37.25
872,44.25,37.25
873,44.75,37.25
874,13.75,37.75
875,14.25,37.75
876,14.75,37.75
877,15.25,37.75
878,22.25,37.75
879,22.75,37.75
880,23.25,37.75
881,27.75,37.75
882,28.25,37.75
883,28.75,37.75
884,29.25,37.75
885,29.75,37.75
886,30.25,37.75
887,30.75,37.75
888,31.25,37.75
889,31.75,37.75
890,32.25,37.75
891,32.75,37.75
892,33.25,37.75
893,33.75,37.75
894,34.25,37.75
895,34.75,37.75
896,35.25,37.75
897,35.75,37.75
898,36.25,37.75
899,36.75,37.75
900,37.25,37.75
901,37.75,37.75
902,38.25,37.75
903,38.75,37.75
904,39.25,37.75
905,39.75,37.75
906,40.25,37.75
907,40.75,37.75
908,41.25,37.75
909,41.75,37.75
910,42.25,37.75
911,42.75,37.75
912,43.25,37.75
913,43.75,37.75
914,44.25,37.75
915,44.75,37.75
916,15.25,38.25
917,15.75,38.25
918,16.25,38.25
919,21.75,38.25
920,22.25,38.25
921,22.75,38.25
922,23.75,38.25
923,24.25,38.25
924,27.25,38.25
925,27.75,38.25
926,28.25,38.25
927,28.75,38.25
928,29.25,38.25
929,29.75,38.25
930,30.25,38.25
931,30.75,38.25
932,31.75,38.25
933,32.25,38.25
934,32.75,38.25
935,33.25,38.25
936,33.75,38.25
937,34.25,38.25
938,34.75,38.25
939,35.25,38.25
940,35.75,38.25
941,36.25,38.25
942,36.75,38.25
943,37.25,38.25
944,37.75,38.25
945,38.25,38.25
946,38.75,38.25
947,39.25,38.25
948,39.75,38.25
949,40.25,38.25
950,40.75,38.25
951,41.25,38.25
952,41.75,38.25
953,42.25,38.25
954,42.75,38.25
955,43.25,38.25
956,43.75,38.25
957,44.25,38.25
958,44.75,38.25
959,21.75,38.75
960,22.25,38.75
961,22.75,38.75
962,23.25,38.75
963,27.25,38.75
964,27.75,38.75
965,28.25,38.75
966,28.75,38.75
967,29.25,38.75
968,29.75,38.75
969,30.25,38.75
970,30.75,38.75
971,31.25,38.75
972,31.75,38.75
973,32.25,38.75
974,32.75,38.75
975,33.25,38.75
976,34.25,38.75
977,34.75,38.75
978,35.25,38.75
979,35.75,38.75
980,36.25,38.75
981,36.75,38.75
982,37.25,38.75
983,37.75,38.75
984,38.25,38.75
985,39.25,38.75
986,39.75,38.75
987,40.25,38.75
988,40.75,38.75
989,41.25,38.75
990,41.75,38.75
991,42.25,38.75
992,43.75,38.75
993,44.25,38.75
994,44.75,38.75
995,8.75,39.25
996,9.25,39.25
997,16.75,39.25
998,21.75,39.25
999,22.25,39.25
1000,22.75,39.25
1001,26.75,39.25
1002,27.25,39.25
1003,27.75,39.25
1004,28.25,39.25
1005,28.75,39.25
1006,29.25,39.25
1007,29.75,39.25
1008,30.25,39.25
1009,30.75,39.25
1010,31.25,39.25
1011,31.75,39.25
1012,32.25,39.25
1013,32.75,39.25
1014,33.25,39.25
1015,34.25,39.25
1016,34.75,39.25
1017,35.25,39.25
1018,35.75,39.25
1019,36.25,39.25
1020,36.75,39.25
1021,37.25,39.25
1022,37.75,39.25
1023,38.25,39.25
1024,38.75,39.25
1025,39.25,39.25
1026,39.75,39.25
1027,40.25,39.25
1028,40.75,39.25
1029,41.25,39.25
1030,41.75,39.25
1031,42.25,39.25
1032,42.75,39.25
1033,43.25,39.25
1034,43.75,39.25
1035,44.25,39.25
1036,44.75,39.25
1037,2.75,39.75
1038,3.25,39.75
1039,9.25,39.75
1040,16.25,39.75
1041,20.25,39.75
1042,20.75,39.75
1043,21.25,39.75
1044,21.75,39.75
1045,22.25,39.75
1046,22.75,39.75
1047,26.75,39.75
1048,27.75,39.75
1049,28.25,39.75
1050,28.75,39.75
1051,29.25,39.75
1052,29.75,39.75
1053,30.25,39.75
1054,30.75,39.75
1055,31.25,39.75
1056,31.75,39.75
1057,32.25,39.75
1058,32.75,39.75
1059,33.25,39.75
1060,33.75,39.75
1061,34.25,39.75
1062,34.75,39.75
1063,35.25,39.75
1064,35.75,39.75
1065,36.25,39.75
1066,36.75,39.75
1067,37.25,39.75
1068,37.75,39.75
1069,38.25,39.75
