STARTcounty,area,pla,agr_share_1831,NrGentry,mills,copyhold_count_1850,market_1600,mill,lMincome,lLStax_pc,perc_catholics_1800,ind_share_1831
BEDFORDSHIRE,1.5145723750,SHEFFORD HARDWICK,0.5000000000,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BEDFORDSHIRE,5.8153730000,CHICKSANDS,0.7647059000,0.0000000000,0.0000000000,,,0.0000000000,3.3704517000,0.0000000000,0.0000000000,0.0000000000
BEDFORDSHIRE,10.8096030000,SOUTHILL,0.6242774700,3.0000000000,0.0000000000,,0.0000000000,0.0000000000,4.0018635000,0.0000000000,0.0000000000,0.0867052000
BEDFORDSHIRE,7.5499531250,PERTENHALL,0.7108433800,0.0000000000,0.0000000000,,,0.0000000000,0.0800427120,0.0000000000,0.0000000000,0.1204819300
BEDFORDSHIRE,1.3593870000,STANFORDBURY,,0.0000000000,0.0000000000,,,0.0000000000,2.3978953000,0.0000000000,,
BEDFORDSHIRE,5.7657750000,STANFORD,0.6703296900,1.0000000000,0.0000000000,,,0.0000000000,1.4190842000,0.0000000000,0.0000000000,0.1428571500
BEDFORDSHIRE,5.3083060000,BROOM,0.7662337400,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1818181900
BEDFORDSHIRE,5.7567345000,CLIFTON,0.6711409700,2.0000000000,0.0000000000,,,0.0000000000,0.9162907600,0.0000000000,0.0030120481,0.2885906100
BEDFORDSHIRE,9.6072670000,HENLOW,0.6851851900,2.0000000000,0.0000000000,,,0.0000000000,3.7875929000,0.0000000000,0.0000000000,0.2222222200
BEDFORDSHIRE,8.396508000000001,LANGFORD,0.8404908200,0.0000000000,0.0000000000,,,0.0000000000,2.7456670000,0.0000000000,0.0000000000,0.1472392700
BEDFORDSHIRE,2.6721292500,ASTWICK,0.8500000200,1.0000000000,0.0000000000,,,0.0000000000,2.6036153000,0.0000000000,0.0000000000,0.0500000010
BEDFORDSHIRE,9.490479000000001,ARLESEY,0.6064516300,2.0000000000,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1419354800
BEDFORDSHIRE,9.651617999999999,STOTFOLD,0.7193877700,0.0000000000,0.0000000000,6.0000000000,,0.0000000000,3.2451932000,0.0000000000,0.0000000000,0.2653061200
BEDFORDSHIRE,2.3860631250,HOLWELL,0.8157894600,0.0000000000,0.0000000000,,,0.0000000000,0.7960045900,0.0000000000,0.0000000000,0.1052631600
BERKSHIRE,4.7003115000,WYTHAM,0.6129032400,0.0000000000,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,4.0210910000,0.0000000000,0.2096774100
BERKSHIRE,0.2765310000,CHANDLINGS FARM,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,,
BERKSHIRE,12.9772971250,UFFINGTON,0.5902777900,1.0000000000,0.0000000000,,,0.0000000000,3.5555861000,0.0000000000,0.0000000000,0.2291666700
BERKSHIRE,8.1374609688,WOOLSTONE,0.7042253600,0.0000000000,0.0000000000,,,0.0000000000,3.5505748000,0.0000000000,0.0000000000,0.1408450800
BERKSHIRE,5.8706965000,COMPTON BEAUCHAMP,0.8000000100,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BERKSHIRE,4.1619040000,ASHBURY,0.5980392100,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0190274850,0.2058823600
BERKSHIRE,3.9151212500,ODSTONE,1.0000000000,1.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.2727272800,0.0000000000
BERKSHIRE,6.7259980000,KINGSTONE WINSLOW,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,,
BERKSHIRE,7.8402460000,IDSTONE,0.7708333100,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0468750000,0.0208333340
BERKSHIRE,19.7458660000,BLAGRAVE,0.6734693600,1.0000000000,0.0000000000,,,0.0000000000,0.0000000000,4.5345526000,0.0000000000,0.0714285750
BERKSHIRE,8.6187720000,EASTBURY AND BOCKHAMPTON,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,3.3653235000,,
BERKSHIRE,14.2197360000,UPPER LAMBOURN,0.6346153600,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1153846200
BERKSHIRE,17.5801440000,CHIPPING LAMBOURN,0.4528302000,0.0000000000,0.0000000000,,1.0000000000,0.0000000000,3.6154122000,4.0413795000,0.0000000000,0.2610063000
