STARTcounty,area,pla,NrGentry,latitude,longitude,valordummy,mill,lLStax_pc,perc_catholics_1800,cutoff1,cutoff2
BEDFORDSHIRE,5.308306,BROOM,0,517237.53,242748.48,0,0,0,0,4,4
BEDFORDSHIRE,5.7567345,CLIFTON,2,516448.25,239068.42,1,0,0,.0030120481,4,4
BEDFORDSHIRE,9.607267,HENLOW,2,517595.75,237234.48,1,0,0,0,4,4
BEDFORDSHIRE,8.396508000000001,LANGFORD,0,519416.63,240183.91,1,0,0,0,4,4
BEDFORDSHIRE,2.67212925,ASTWICK,1,521395.28,239188.08,1,0,0,0,4,4
BEDFORDSHIRE,9.490479000000001,ARLESEY,2,519432.84,235780.67,0,0,0,0,4,4
BEDFORDSHIRE,9.651617999999999,STOTFOLD,0,521399.84,236142.14,1,0,0,0,4,4
BEDFORDSHIRE,2.386063125,HOLWELL,0,519178.19,233677.75,1,0,0,0,4,4
BERKSHIRE,4.7003115,WYTHAM,0,446903.28,209051.55,0,0,4.021091,0,4,4
BERKSHIRE,.276531,CHANDLINGS FARM,0,450741.09,201291.13,0,0,0,,4,4
BERKSHIRE,12.977297125,UFFINGTON,1,430645.03,187832,1,0,0,0,4,4
BERKSHIRE,8.13746096875,WOOLSTONE,0,429445.69,190594.3,1,0,0,0,4,4
BERKSHIRE,5.8706965,COMPTON BEAUCHAMP,0,428346,186145.34,0,0,0,0,4,4
BERKSHIRE,4.161904,ASHBURY,0,427000,184150,0,0,0,.019027485,4,4
BERKSHIRE,3.91512125,ODSTONE,1,427577.19,185824.2,0,0,0,.27272728,4,4
BERKSHIRE,6.725998,KINGSTONE WINSLOW,0,426871.03,185675.55,0,0,0,,4,4
BERKSHIRE,7.840246,IDSTONE,0,426539.75,183360.63,0,0,0,.046875,4,4
BERKSHIRE,19.745866,BLAGRAVE,1,432486.41,175797.11,0,0,4.5345526,0,4,4
BERKSHIRE,8.618772,EASTBURY AND BOCKHAMPTON,0,435066.22,178525.66,0,0,3.3653235,,4,4
BERKSHIRE,14.219736,UPPER LAMBOURN,0,430766.69,181202.05,0,0,0,0,4,4
BERKSHIRE,17.580144,CHIPPING LAMBOURN,0,432821.09,180317.33,1,0,4.0413795,0,4,4
BERKSHIRE,5.2133275,CHILTON FOLIAT,0,433771.84,171341.42,0,0,3.9963641,,4,4
BERKSHIRE,17.944476,EAST GARSTON,0,436567.63,177127.91,0,0,3.3829768,.0028612304,4,4
BERKSHIRE,5.294838,SUNNINGWELL,1,449761.19,200705.36,0,0,3.3851433,0,4,4
BERKSHIRE,8.784390999999999,FAWLEY,2,438968.69,180457.77,0,0,3.6744907,.087628864,4,4
BERKSHIRE,13.667638,CHADDLEWORTH,3,441067.22,178337.27,0,0,3.1829438,0,4,4
BERKSHIRE,8.2679005,BRIGHTWALTON,1,442701.22,179758.08,1,0,0,.015837105,4,4
BERKSHIRE,7.597455375,FARNBOROUGH,0,445927.78,182135.2,0,0,3.7841897,0,4,4
BERKSHIRE,2.79745425,CATMORE,1,444924.19,180311.38,0,0,0,0,4,4
BERKSHIRE,8.404665,PEASEMORE,0,445737.09,177662.73,0,0,3.4162352,,4,4
BERKSHIRE,8.1130575,BEEDON,0,447857.16,178117.34,1,0,4.0271358,0,4,4
BERKSHIRE,12.267176,WEST ILSLEY,1,446953.38,182636.27,1,0,3.7992275,0,4,4
