STARTcounty,agr_share_1831,NrGentry,mills,copyhold_count_1850,market_1600,valordummy,mill,perc_catholics_1800,ind_share_1831
BERKSHIRE,.61567163,1,0,3,0,0,0,0,.29850745
BERKSHIRE,.74172187,0,0,2,,0,0,0,.20529801
BERKSHIRE,,0,0,,1,1,0,,
BERKSHIRE,.39597315,0,0,,,0,0,0,.15771812
BERKSHIRE,.875,0,0,,,0,0,0,.125
BERKSHIRE,.1484375,4,0,,,1,0,.027257239,.5
BERKSHIRE,.20628683,0,0,,,0,0,0,.61689585
BERKSHIRE,.66025639,4,0,,0,0,0,0,.21153846
BERKSHIRE,.48559672,0,0,,,1,0,0,.27572018
BERKSHIRE,.78600824,0,0,,,0,0,0,.1563786
BERKSHIRE,,3,0,,,1,0,,
BERKSHIRE,.59580052,0,0,7,0,0,0,0,.167979
BERKSHIRE,.44954127,1,0,,,0,0,0,.19266056
BERKSHIRE,.67527676,2,0,,,1,0,0,.18081181
BERKSHIRE,.45273632,0,0,,,1,0,0,.059701491
BERKSHIRE,.38186157,2,0,1,0,1,0,.00029967036,.32816228
BERKSHIRE,.91666669,1,0,,0,0,0,0,.027777778
BERKSHIRE,,0,0,1,,0,0,,
BERKSHIRE,,4,0,5,,0,0,,
BERKSHIRE,.50615901,2,0,1,0,1,0,.0031609195,.28331468
BERKSHIRE,.36178863,0,0,,,1,0,0,.18292683
BERKSHIRE,.75999999,0,0,1,,0,0,0,.13777778
BERKSHIRE,,1,0,,,1,0,,
BERKSHIRE,.4845815,0,0,,,0,0,0,.16299559
BERKSHIRE,.25786164,4,0,,,1,0,0,.11320755
BERKSHIRE,.63454545,1,0,,,0,0,.00049776008,.21090908
BERKSHIRE,,1,0,,,0,0,,
BERKSHIRE,.45637584,4,0,5,,0,0,.0099420054,.32885906
BERKSHIRE,.82857144,0,0,,,0,0,0,.057142857
BERKSHIRE,.235732,4,0,,,0,0,.027631579,.32506204
BERKSHIRE,.040609136,3,0,9,,0,0,0,.44771573
BERKSHIRE,.025554808,0,0,4,1,0,0,.00070796459,.40215197
BERKSHIRE,,0,0,8,,1,0,,
BERKSHIRE,.32296652,0,0,,0,1,0,.00068823126,.18421052
BERKSHIRE,,0,0,,,0,0,,
