STARTcounty,area,pla,agr_share_1831,latitude,longitude,valordummy,lLStax_pc,ind_share_1831,cutoff1,cutoff2
BERKSHIRE,9.771751,ENBOURNE,.75555557,444176.5,165186.75,0,3.4165549,.14814815,4,4
BERKSHIRE,15.598577,SPEEN,.36966291,444091.94,168297.06,0,5.4487634,.34606743,4,4
BERKSHIRE,6.41694,SHIPPON,.80487806,448034.66,197827.44,0,3.9241712,.12195122,4,4
BERKSHIRE,8.1096705,SHAW,,447346.56,169650.86,1,4.4958115,,4,4
BERKSHIRE,5.01881,NEWBURY,.032558139,446386.91,165575.47,1,4.3305631,.52026576,4,4
BERKSHIRE,2.1606625,SANDLEFORD PRIORY,.2857143,447051.81,164540.14,0,0,.2857143,4,4
BERKSHIRE,31.65793,THATCHAM,.4859038,451767.47,167092.61,0,0,.24046434,4,4
BERKSHIRE,10.255634,GREENHAM,.472,449077,165414.39,0,3.3299699,.33199999,4,4
BERKSHIRE,5.7997475,MIDGHAM,.75789475,455643.5,167097.06,0,0,.15789473,4,4
BERKSHIRE,6.915167,BRIMPTON,.72000003,456177.03,164495.44,0,3.4714017,.22400001,4,4
BERKSHIRE,2.7673975,WASING,,457640.56,164289.2,1,2.9098933,,4,4
BERKSHIRE,15.248540625,ALDERMASTON,.61509436,459779.47,167758.34,1,4.4964552,.24150944,4,4
BERKSHIRE,7.4040442578125,BEENHAM,.67741936,461084.88,168529.42,0,3.7211013,.19354838,4,4
BERKSHIRE,2.84699,WOOLHAMPTON,,457710,167172.98,0,0,,4,4
BERKSHIRE,21.50544482177735,BUCKLEBURY,.74603176,456751.38,172889.63,1,2.9561849,.13492064,4,4
BERKSHIRE,2.852632,MARLESTON,,453278.44,171894.53,0,0,,4,4
BERKSHIRE,3.99181825,FRILSHAM,.63999999,454481,173574.81,0,2.7001762,.18000001,4,4
BERKSHIRE,3.786411417480469,STANFORD DINGLEY,,456883.41,172482.17,0,3.7671454,,4,4
BERKSHIRE,17.741898,BRADFIELD,.66233766,459437,172910.75,0,4.5074348,.15151516,4,4
BERKSHIRE,3.1543085,TIDMARSH,.4893617,463142,174552.44,0,4.1078887,.14893617,4,4
BERKSHIRE,5.716107818359375,ENGLEFIELD,.64583331,464572.19,171952.08,0,5.0494046,.16666667,4,4
BERKSHIRE,5.00963719921875,PADWORTH,.46268657,461502.38,167840.16,0,3.1823549,.23880596,4,4
BERKSHIRE,3.04473775,CHOLSWELL,,447207.06,199862.14,0,4.1805224,,4,4
BERKSHIRE,1.411771125,NORTHCOURT,,450814.28,198757.8,0,0,,4,4
BERKSHIRE,8.74629,UFTON NERVET,.74418604,462294.78,167923.13,0,0,.069767445,4,4
BERKSHIRE,2.11829375,GRAZELEY,,468695.41,167723.59,0,0,,4,4
BERKSHIRE,2.3436145,SULHAMPSTEAD BANNISTER - UPPER END,,463602.03,168805.13,0,3.4247279,,4,4
BERKSHIRE,2.29036575,SULHAMPSTEAD BANNISTER - LOWER END,.66666669,468256.19,166467.59,0,0,.11111111,4,4
BERKSHIRE,17.340262,BURGHFIELD,.70915031,466887.44,169272.91,0,3.7493286,.13725491,4,4
BERKSHIRE,16.407584,TILEHURST,.53684211,467175.31,173480.73,0,3.7663548,.2631579,4,4
BERKSHIRE,5.4502405,THEALE,,464122.03,171685.31,0,0,,4,4
BERKSHIRE,3.0632323125,SULHAM,.82608694,465186.59,176086.94,1,4.1450567,0,4,4
BERKSHIRE,.70468848046875,WHITCHURCH,,465203.03,177076.69,0,0,,4,4
BERKSHIRE,3.535325153320313,PURLEY,,465854.22,176433.94,0,0,,4,4
BERKSHIRE,.017690224609375,SALTNEY MEADS,,464498.34,177066.73,0,0,,4,4
BERKSHIRE,1.311713625,BARTON,.65217394,450530.75,197795.34,0,0,0,4,4
BERKSHIRE,5.544663,ST MARY READING,.051299132,470473.19,173103.34,1,0,.77614921,4,4
BERKSHIRE,2.044067125,SOUTHCOTE,,469079,171627.16,0,0,,4,4
BERKSHIRE,1.257823375,ST LAWRENCE READING,.051886793,471958.91,173935.83,0,0,.53584903,4,4
BERKSHIRE,2.533668,ST GILES READING,.073770493,472258.81,172831.05,0,0,.37377051,4,4
BERKSHIRE,8.991153000000001,WHITLEY,,471844,170578.56,0,0,,4,4
BERKSHIRE,9.859556250000001,SHINFIELD,.73305082,473044.34,167965.41,0,3.8608968,.088983051,4,4
BERKSHIRE,6.209607,HARTLEY DUMMER,.63917524,470094.28,168129.2,0,3.7808309,.092783503,4,4
BERKSHIRE,2.346777,DIDNAM,,470819.38,166788.8,0,0,,4,4
BERKSHIRE,7.04162,SWALLOWFIELD WEST,.42192692,471671.94,164411.09,0,2.4567358,.29235882,4,4
BERKSHIRE,1.9316425,FARLEY,,475460.72,164698.56,0,0,,4,4
BERKSHIRE,6.187605,SWALLOWFIELD EAST,,473815.63,164783.28,0,4.1934357,,4,4
BERKSHIRE,.1850228125,PUMNEY,,452949.72,197686.8,0,0,,4,4
BERKSHIRE,3.89701875,BEECH HILL,.64705884,469768.94,164559.97,0,3.4817705,.10588235,4,4
BERKSHIRE,12.374437,STRATFIELD MORTIMER,.5865922,466812.81,164309.45,1,3.6949124,.24022347,4,4
BERKSHIRE,2.732468057617187,WOKEFIELD,.52083331,467040.78,166810.16,0,0,.22916667,4,4
BERKSHIRE,5.964184,ARBORFIELD,.73333335,475226.47,166786.27,1,3.404289,.16,4,4
BERKSHIRE,4.6988025,NEWLAND,.52238804,476609.53,168349.48,0,0,.37313432,4,4
