STARTcounty,hundred,area,pla,agr_share_1831,NrGentry,mills,fivemilegrid_id,tenmilegrid_id,copyhold_count_1850,market_1600,valordummy,mill,lLStax_pc,perc_catholics_1800,ind_share_1831,North_South,East_West
DURHAM,STOCKTON WARD (SOUTH WEST DIV),5.7905025,ELTON,.76190478,0,0,10566,2631,,,0,0,0,.009708738,.14285715,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),18.823376,NORTON,.19825073,2,0,10670,2683,,0,0,0,0,.0074024228,.20408164,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),12.34673038476562,STOCKTON,.063439064,4,2,10671,2684,,0,1,1,0,.017776633,.52031165,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),4.16812225,EAST HARTBURN,,0,0,10566,2631,,,0,0,0,,,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),4.619476,PRESTON-ON-TEES,.69090909,0,0,10462,2631,,,0,0,0,.30263159,.12727273,1,0
DURHAM,CHESTER WARD (MID DIV),7.6700035,STANLEY,.18666667,0,0,11290,2837,,,0,0,0,.20995671,.18888889,1,0
DURHAM,DARLINGTON WARD (NORTH WEST DIV),12.831481,WITTON LE WEAR,.28799999,0,0,10873,2733,,,0,0,0,0,.472,1,0
DURHAM,CHESTER WARD (MID DIV),3.0915795,HEDLEY,.81818181,0,0,11394,2837,,,0,0,0,,0,1,0
DURHAM,CHESTER WARD (MID DIV),11.893694,RAVENSWORTH,.17312072,0,0,11394,2837,,,0,0,0,.20314136,.2095672,1,0
DURHAM,CHESTER WARD (MID DIV),7.12709872265625,KIBBLESWORTH,.41509435,0,0,11290,2837,,,0,0,0,,.16037735,1,0
DURHAM,CHESTER WARD (MID DIV),6.909098,LAMESLEY,,1,0,11395,2838,,,0,0,0,,,1,0
DURHAM,CHESTER WARD (EAST DIV),6.7435995,HEDWORTH,.3317757,0,0,11500,2890,,,1,0,0,.16842106,.28971961,1,0
DURHAM,CHESTER WARD (MID DIV),5.670544,BIRTLEY,.11016949,0,0,11291,2838,,,0,0,0,.25526315,.084745765,1,0
DURHAM,CHESTER WARD (MID DIV),2.537993,OUSTON,.12307692,1,0,11291,2838,,,0,0,0,,.84615386,1,0
