STARTcounty,area,pla,latitude,longitude,valordummy,LS_pc_change,pc_change1525_1086,pc_change1525_1066,pc_change1332_1086,pc_change1332_1066,pc_change1086_1066,cutoff1,cutoff2
BEDFORDSHIRE,12.779535,WILSTEAD,506925.69,243850.48,-.69258142,-.40523645,-.16540518,-.05233968,-.13547292,-.17364879,-.12969124,4,4
BEDFORDSHIRE,17.425602,MARSTON MORETAINE,499121.25,241988.09,1.443785,-.40523645,-.16540518,-.05233968,-.13110596,-.17309797,-.13214841,4,4
BEDFORDSHIRE,16.001768,CRANFIELD,495269.72,242624.41,1.443785,-.40523645,-.16540518,-.05233968,-.1507917,-.1755756,-.11784294,4,4
BEDFORDSHIRE,3.512851,SALFORD,492653.69,239782.73,1.443785,-.1067391,,,,,,4,4
BEDFORDSHIRE,3.55584525,HOLCOT,494703.41,239266.7,1.443785,,,,,,,4,4
BEDFORDSHIRE,7.5019955,ASPLEY GUISE,494053.59,236520.66,-.69258142,.0079032602,-.10153401,-.041590732,-.14346226,-.16496965,-.10375758,4,4
BEDFORDSHIRE,6.419572,HUSBORNE CRAWLEY,496032.38,236248.84,1.443785,-.10505964,-.13025749,-.050049175,-.15804252,-.19258535,-.15446493,4,4
BEDFORDSHIRE,9.220715999999999,RIDGMONT,497525.53,237098,1.443785,-.40523645,,,,,,4,4
BEDFORDSHIRE,14.38677959375,KEYSOE,509583.03,262606.78,1.443785,-.40523645,-.16540518,-.05233968,-.086330608,-.041195285,-.0097164679,4,4
BEDFORDSHIRE,10.30425,LIDLINGTON,498390,239157.67,1.443785,-.40523645,-.16540518,-.05233968,-.11752899,-.16278568,-.12547253,4,4
BEDFORDSHIRE,7.188466,MILLBROOK,501178.41,238296.55,-.69258142,,-.16540518,-.05233968,,,-.1315762,4,4
BEDFORDSHIRE,7.630918,AMPTHILL,503299.16,238192.08,-.69258142,-.40523645,-.16540518,-.05233968,-.14740384,-.16364828,-.094954208,4,4
BEDFORDSHIRE,10.516223,MAULDEN,505910.97,237867.42,-.69258142,-.40523645,-.16540518,-.05233968,-.16139331,-.18110785,-.11727547,4,4
BEDFORDSHIRE,9.730437999999999,CLOPHILL,509432.5,238222.2,1.443785,-.16251664,-.12746298,-.049690444,-.14279304,-.18765272,-.15217607,4,4
BEDFORDSHIRE,3.8897625,CAMPTON,512393.09,238065.45,1.443785,,-.16540518,-.05233968,,,-.11087681,4,4
BEDFORDSHIRE,.63569525,SHEFFORD,514078.94,238869.59,1.443785,-.40523645,-.16540518,-.05233968,-.1573312,-.18187536,-.12547253,4,4
BEDFORDSHIRE,1.514572375,SHEFFORD HARDWICK,513948.59,239776.67,-.69258142,,,,,,,4,4
BEDFORDSHIRE,5.815373,CHICKSANDS,511340.59,239745.22,1.443785,,,,,,,4,4
BEDFORDSHIRE,10.809603,SOUTHILL,513319.94,241733.52,1.443785,-.40523645,-.16540518,-.05233968,-.13576759,-.16411962,-.11155483,4,4
BEDFORDSHIRE,7.549953125,PERTENHALL,509924.91,265552.09,1.443785,-.40523645,,,,,,4,4
BEDFORDSHIRE,1.359387,STANFORDBURY,514883.63,240401.45,1.443785,,,,,,,4,4
BEDFORDSHIRE,5.765775,STANFORD,516008.72,241526.56,1.443785,-.40523645,-.16540518,-.05233968,-.17641857,-.17651242,-.057393197,4,4
BEDFORDSHIRE,5.308306,BROOM,517237.53,242748.48,-.69258142,,-.16540518,,,,,4,4
BEDFORDSHIRE,5.7567345,CLIFTON,516448.25,239068.42,1.443785,-.40523645,-.16540518,-.05233968,-.14964069,-.1426899,-.041685861,4,4
BEDFORDSHIRE,9.607267,HENLOW,517595.75,237234.48,1.443785,-.40523645,-.16540518,-.05233968,-.14536372,-.18107091,-.13626559,4,4
BEDFORDSHIRE,8.396508000000001,LANGFORD,519416.63,240183.91,1.443785,-.40523645,-.16540518,-.05233968,-.16308001,-.16696669,-.069929183,4,4
BEDFORDSHIRE,2.67212925,ASTWICK,521395.28,239188.08,1.443785,,,,,,,4,4
BEDFORDSHIRE,9.490479000000001,ARLESEY,519432.84,235780.67,-.69258142,-.40523645,-.16540518,-.05233968,-.15463558,-.15598288,-.061479408,4,4
BEDFORDSHIRE,9.651617999999999,STOTFOLD,521399.84,236142.14,1.443785,-.40523645,-.16540518,-.05233968,-.17152067,-.1513239,.022927724,4,4
BEDFORDSHIRE,2.386063125,HOLWELL,519178.19,233677.75,1.443785,-.40523645,,,,,,4,4
BERKSHIRE,4.7003115,WYTHAM,446903.28,209051.55,-.69258142,.1605085,-.077441819,-.026134416,-.14311904,-.13447776,-.040021218,4,4
BERKSHIRE,.276531,CHANDLINGS FARM,450741.09,201291.13,-.69258142,,,,,,,4,4
BERKSHIRE,12.977297125,UFFINGTON,430645.03,187832,1.443785,-.40523645,-.16540518,-.05233968,-.15270314,-.17240463,-.10732651,4,4
BERKSHIRE,8.13746096875,WOOLSTONE,429445.69,190594.3,1.443785,-.40523645,-.16540518,-.05233968,-.11477974,-.1621324,-.12642623,4,4
BERKSHIRE,5.8706965,COMPTON BEAUCHAMP,428346,186145.34,-.69258142,-.40523645,-.16540518,-.05233968,-.14792882,-.16710441,-.1019969,4,4
BERKSHIRE,4.161904,ASHBURY,427000,184150,-.69258142,-.40523645,-.16540518,-.05233968,-.083576888,-.18431631,-.16558233,4,4
BERKSHIRE,3.91512125,ODSTONE,427577.19,185824.2,-.69258142,-.40523645,-.16540518,-.05233968,-.13442478,-.16260001,-.11021337,4,4
BERKSHIRE,6.725998,KINGSTONE WINSLOW,426871.03,185675.55,-.69258142,,,,,,,4,4
BERKSHIRE,7.840246,IDSTONE,426539.75,183360.63,-.69258142,-.40523645,,,,,,4,4
BERKSHIRE,19.745866,BLAGRAVE,432486.41,175797.11,-.69258142,.10845432,-.029399658,-.038933139,-.10064129,-.16484836,-.1380389,4,4
BERKSHIRE,8.618772,EASTBURY AND BOCKHAMPTON,435066.22,178525.66,-.69258142,-.21696018,,,,,,4,4
BERKSHIRE,14.219736,UPPER LAMBOURN,430766.69,181202.05,-.69258142,-.40523645,,,,,,4,4
BERKSHIRE,17.580144,CHIPPING LAMBOURN,432821.09,180317.33,1.443785,-.069620624,-.10246024,-.042725619,-.13065381,-.16102216,-.11140549,4,4
BERKSHIRE,5.2133275,CHILTON FOLIAT,433771.84,171341.42,-.69258142,-.11970963,-.060840428,-.037196834,-.061204687,-.12439279,-.11529975,4,4
BERKSHIRE,17.944476,EAST GARSTON,436567.63,177127.91,-.69258142,-.22496247,-.12680371,-.048027251,-.12032349,-.16811793,-.1315762,4,4
BERKSHIRE,5.294838,SUNNINGWELL,449761.19,200705.36,-.69258142,-.044629052,-.090065114,-.047079217,-.12234525,-.18213625,-.15217607,4,4
BERKSHIRE,8.784390999999999,FAWLEY,438968.69,180457.77,-.69258142,-.13399149,-.12836878,-.04544371,-.15048124,-.16586223,-.094954208,4,4
BERKSHIRE,13.667638,CHADDLEWORTH,441067.22,178337.27,-.69258142,-.26325464,-.14415148,-.047954541,-.14536937,-.15765913,-.085056372,4,4
BERKSHIRE,8.2679005,BRIGHTWALTON,442701.22,179758.08,1.443785,-.40523645,-.16540518,-.05233968,-.1357387,-.16067721,-.10512698,4,4
BERKSHIRE,7.597455375,FARNBOROUGH,445927.78,182135.2,-.69258142,-.092011943,,,,,,4,4
BERKSHIRE,2.79745425,CATMORE,444924.19,180311.38,-.69258142,-.40523645,-.16540518,-.05233968,.085263118,-.10015426,-.14073169,4,4
BERKSHIRE,8.404665,PEASEMORE,445737.09,177662.73,-.69258142,-.3038381,,,,,,4,4
BERKSHIRE,8.1130575,BEEDON,447857.16,178117.34,1.443785,-.12191935,-.00609357,-.041553158,.015017948,-.14686494,-.15321645,4,4
BERKSHIRE,12.267176,WEST ILSLEY,446953.38,182636.27,1.443785,-.075627498,-.14402881,-.050196517,-.17834722,-.19428007,-.13721034,4,4
BERKSHIRE,12.289382,EAST ILSLEY,449232.13,180910.25,-.69258142,-.40523645,,,,,,4,4
BERKSHIRE,15.190093,COMPTON,452163.88,179955.73,-.69258142,-.11102246,-.10606965,-.046815708,-.12516361,-.17584692,-.14073169,4,4
BERKSHIRE,1.223023375,KENNINGTON,452404.13,202108.64,-.69258142,.28490898,-.075738624,-.04538326,-.15305376,-.18890701,-.14836127,4,4
BERKSHIRE,7.5601835,ALDWORTH,454830.66,180038.7,1.443785,.041183647,-.070078157,-.034590319,-.12055283,-.14433111,-.094954208,4,4
BERKSHIRE,5.690673,MOULSFORD,457732.81,182946.67,-.69258142,-.11727856,,,,,,4,4
BERKSHIRE,14.742153,STREATLEY,457796.44,180451.41,1.443785,.028861489,-.11307427,-.046601709,-.15669721,-.1841933,-.13259347,4,4
BERKSHIRE,12.696649,BASILDON,460038.56,177593.2,-.69258142,.10414097,-.079009615,-.035750609,-.13762745,-.15513274,-.09209311,4,4
