STARTcounty,area,pla,latitude,longitude,NrPatents,WheatYield,valordummy,enclosed,lLStax_pc,thresh_machines,cutoff1,cutoff2
BERKSHIRE,12.696649,BASILDON,460038.56,177593.2,0,28,0,1,3.9702919,0,4,4
BERKSHIRE,8.365784,ASHAMPSTEAD,457037.94,176551.19,0,,0,0,3.3571022,0,4,4
BERKSHIRE,5.6283755,YATTENDON,454637.16,174910.95,0,23,0,0,4.1457334,0,4,4
BERKSHIRE,24.445624,HAMPSTEAD NORREYS,452071.28,175548.55,0,20,0,1,4.0366511,0,4,4
BERKSHIRE,5.4236784453125,SHOTTESBROOK,486309.06,178920.53,0,24,1,1,3.4446826,0,4,4
BERKSHIRE,14.313722,BINFIELD,484979.81,171821.98,0,,0,0,3.1714532,0,4,4
BERKSHIRE,6.7478365,CHIEVELEY,447228.28,174309.55,0,,0,1,3.6531289,0,4,4
BERKSHIRE,6.091706,OARE,449629.63,174554.61,0,,0,0,0,0,4,4
BERKSHIRE,5.2456095,CURRIDGE,449097.72,172306.39,0,20,0,1,3.583519,0,4,4
BERKSHIRE,3.51579875,SNELSMORE,447310.41,171592.83,0,24,0,0,0,0,4,4
BERKSHIRE,8.616332999999999,WINTERBOURNE,445340.34,172801.89,0,28,0,0,3.8281581,0,4,4
BERKSHIRE,7.179911,LECKHAMPSTEAD,443866.41,176333.45,0,,0,0,4.5296626,0,4,4
BERKSHIRE,11.358001,BOXFORD,443252.81,172019.28,0,22,0,1,3.4179394,0,4,4
BERKSHIRE,20.988776,WELFORD,440680.72,172361.59,0,22,0,1,3.3408253,0,4,4
BERKSHIRE,4.308312,EAST SHEFFORD,438783,174390.53,0,25,0,0,3.2708356,0,4,4
BERKSHIRE,9.066262999999999,WEST SHEFFORD,437777.78,175080.09,0,28,1,1,4.2098708,0,4,4
BERKSHIRE,2.57252175,HUNGERFORD,434871.34,167843.69,0,,1,0,0,0,4,4
BERKSHIRE,10.60805,RADLEY,452220.88,199277.61,0,,0,0,4.4337559,0,4,4
BERKSHIRE,.86409709375,ST HELEN,452186.06,197208.36,0,,0,0,4.5933042,0,4,4
BERKSHIRE,5.6993855,"EDINGTON, HIDDEN AND NEWTOWN",435159.94,170900.38,0,,0,0,3.6194165,0,4,4
BERKSHIRE,5.0939235,SANDEN FEE,433408.47,166615.72,0,,0,1,3.5830138,0,4,4
BERKSHIRE,4.826801,AVINGTON,436971.13,169760.95,0,24,0,0,4.5819016,0,4,4
BERKSHIRE,30.9495435,KINTBURY,437969.47,167695.02,0,,1,1,4.6053247,0,4,4
BERKSHIRE,6.82508,SHALBOURNE,431629.31,164553.09,0,,1,1,4.4439158,0,4,4
BERKSHIRE,7.646399,OXENWOOD,430824.75,159656.53,0,,0,1,0,0,4,4
BERKSHIRE,11.20746131054688,INKPEN,436318.19,168163.88,0,22,0,1,3.8201907,0,4,4
BERKSHIRE,5.9036415,WEST WOODHAY,439092.44,163011.81,0,20,0,0,4.1309671,0,4,4
BERKSHIRE,7.4597655,HAMSTEAD MARSHALL,441397.19,165848.83,0,20,0,1,3.7637112,0,4,4
BERKSHIRE,9.771751,ENBOURNE,444176.5,165186.75,0,20,0,1,3.4165549,0,4,4
BERKSHIRE,15.598577,SPEEN,444091.94,168297.06,1,,0,1,5.4487634,0,4,4
BERKSHIRE,6.41694,SHIPPON,448034.66,197827.44,0,,0,1,3.9241712,0,4,4
BERKSHIRE,8.1096705,SHAW,447346.56,169650.86,0,28,1,0,4.4958115,0,4,4
BERKSHIRE,5.01881,NEWBURY,446386.91,165575.47,3,,1,1,4.3305631,0,4,4
BERKSHIRE,2.1606625,SANDLEFORD PRIORY,447051.81,164540.14,0,,0,0,0,0,4,4
BERKSHIRE,31.65793,THATCHAM,451767.47,167092.61,0,,0,1,0,0,4,4
BERKSHIRE,10.255634,GREENHAM,449077,165414.39,0,,0,1,3.3299699,0,4,4
BERKSHIRE,5.7997475,MIDGHAM,455643.5,167097.06,0,,0,1,0,0,4,4
BERKSHIRE,6.915167,BRIMPTON,456177.03,164495.44,0,,0,1,3.4714017,0,4,4
