city,latitude,longitude,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,pop1550,pop1600,pop1650,pop1700,pop1750,pop1800,pop1850,11to13,13to15,1500to1550,1550to1600,16to18,150pre,150post,lnInc201,netInc201,lnInc501,netInc501,lnInc1001,netInc1001,1
North Shields,55.0097,-1.4448,0,0,1,1,1,1,1,1,1,1,4,7,11,,0,0,0,6,0,0,13.18834686,453.7443848,29.08412361,1335.076782,70.06414032,2905.289551,20.47395134
Norwich,52.63,1.297,5,7,10,13,6,10,14,20,24,30,37,37,68,0.857142857,-0.230769231,0.4,0.428571429,0.85,1.333333333,1.142857143,25.86464119,1310.506714,72.88361359,2547.137451,184.0553436,6198.741699,42.01853561
Nottingham,52.95,-1.15,1,2,3,4,2,3,3,4,4,5,12,29,99,1,-0.25,0,0.333333333,6.25,0.5,0.666666667,14.00115681,576.473999,82.34761047,2677.170654,270.7640686,9639.175781,51.72284317
Nuneaton,52.523,-1.468,0,0,1,1,1,1,1,2,2,2,3,5,5,,0,0,1,1.5,0,1,21.52496147,959.2958374,84.64759064,3605.080078,280.9211426,11301.4248,72.98405457
Oldham,53.5444,-2.1169,1,1,1,1,1,1,1,1,1,1,3,12,53,0,0,0,0,11,0,0,1.248028636,7.77218914,7.585288525,166.2261658,109.1022339,4138.717285,74.86266327
Oxford,51.7519,-1.2578,2,2,3,3,2,5,5,5,6,8,8,12,29,0.5,0.666666667,0,0,1.4,1.5,0.6,36.37462234,2816.448242,74.16119385,4898.217285,262.4760742,16906.78125,49.09113693
Plymouth,50.3714,-4.1422,0,0,1,7,7,3,5,7,7,8,14,16,52,,-0.571428571,0.666666667,0.4,1.285714286,-0.285714286,0.6,9.899671555,917.8666382,32.35273743,2400.478027,68.07131958,3939.123047,18.29228973
Poole,50.7167,-1.9833,0,0,1,1,1,1,1,2,2,2,3,5,9,,0,0,1,1.5,0,1,3.766645193,115.4562683,31.93484688,1354.577393,130.8100281,7873.112793,26.96801186
Portsmouth,50.8058,-1.0872,0,1,1,1,1,2,1,1,2,3,10,33,72,0,1,-0.5,0,32,0,2,8.425889015,344.5062866,41.42897797,2013.255981,120.7319031,6303.923828,32.59483337
Preston,53.759,-2.699,0,1,1,1,1,1,1,2,2,2,6,12,70,0,0,0,1,5,0,1,3.320522547,28.83774567,21.49054718,535.6994019,66.57362366,2545.408447,42.67104721
Preston,53.7566,-0.1969,0,1,1,1,1,1,1,2,2,2,6,12,70,0,0,0,1,5,0,1,11.47783852,470.1293945,59.68115997,1950.569214,196.0977325,6419.230957,20.329422
Reading,51.4542,-0.9731,0,1,1,2,2,4,4,5,5,5,7,10,21,1,1,0,0.25,1,1,0.25,11.55575371,1992.693237,59.36670685,4176.850586,265.7853088,19889.85352,117.2454681
Rochdale,53.6136,-2.161,0,1,1,1,1,1,1,1,1,1,4,13,42,0,0,0,0,12,0,0,0.642092228,3.998676062,10.58947754,272.1255188,104.3549728,4036.715332,71.37413025
Rochester,51.375,0.5,1,2,2,2,1,2,2,3,3,3,5,7,17,0,0,0,0.5,1.333333333,1,0.5,13.57699776,782.4780884,50.93124771,2932.200684,227.6121063,18485.64453,169.1227417
Rotherham,53.43,-1.357,1,2,2,3,2,3,2,2,1,1,3,8,14,0.5,0,-0.333333333,0,3,0,-0.5,4.95647049,181.8424377,46.7311554,1667.908936,215.7959747,7368.807129,65.70206451
Rowley Regis,52.48,-2.06,0,1,1,2,1,1,1,1,1,1,2,5,14,1,-0.5,0,0,4,0,0,9.038250923,290.7119446,59.22859573,2208.687012,248.379303,11394.9043,86.52610016
Rugby,52.37,-1.26,0,1,1,1,1,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,4.915400028,249.4844208,77.49570465,3297.750244,291.7389832,12861.61816,56.86144257
Salford,53.483,-2.2931,0,0,1,1,1,1,1,1,1,1,3,18,85,,0,0,0,17,0,0,2.762156248,17.20152855,11.22325802,360.8877563,93.05981445,3493.185059,72.54211426
Salisbury,51.074,-1.7936,0,0,1,8,5,8,7,6,6,7,9,8,12,,0,-0.125,-0.142857143,0.333333333,0.4,0,15.41796684,966.4453125,60.42609787,3271.253662,199.7642822,12444.87402,50.64356613
