id_1,id_2,id_3,obs_num,linked,year,county_city,parish,township,area,arable_area,pasture_area,meadow_area,garden_area,orchard_area,wood_area,ozier_area,hops_area,fen_area,marsh_area,houses,cottages,barns,farm_buildings,rent,rent_type,tenantes,lease_yrs,fine,annual_rent,price,burdens,return_pct,net_price,tenure,tithe_share,tithe_amount,land_tax_share,rent_valuation,annual_rental_value,annual_rental_value_tithe_free,share_clear_of_deductions,repair_payer,tithe_payer,rate_payer,local_rates,land_tax_payer,land_tax_amount,drainage_tax_payer,drainage_tax_amount,commons_area,lammas_area,commons_arable_area,commons_pasture_area,commons_meadow_area,commons_waste_area,beast_gates,sheep_gates,unspecified_common_rights,last_enclosure,enclosure_type,commons_unspecified_area,enclosed_common_area,enclosed_common_waste_area,parish_allotment,source,fccr_vol,fccr_page,county_city,parish_township,charity,notes,,,
300,433,1,0,L,1550,KT,"ST MARY, ROMNEY MARSH",,25,,,,,,0,0,0,0,0,,,,,4.83,C,1,,,4.83,,,5,,,,,,,4.83,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,30,433,KT,SELLINGE,FORDRED,,,,
280,134,1,0,L,1552,WA,COVENTRY,,7,0,7,0,0,0,0,0,0,0,0,0,0,0,N,0.83,C,1,,,0.83,,,5,,,,,,,0.83,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,28,134,,,,,,,
280,134,2,0,L,1552,WA,BULKINGTON,,50,,,,,,0,0,0,0,0,0,1,0,N,1.18,C,2,,,1.18,,,5,,,,,,,1.18,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,28,134,,,,,,,
280,134,3,0,L,1552,WA,COVENTRY,,7.19,0,7.19,0,0,0,0,0,0,0,0,0,0,0,N,1,C,1,,,1,,,5,,,,,,,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,28,134,,,,,,,
280,134,4,0,L,1552,WA,COVENTRY,,9.67,0,9.67,0,0,0,0,0,0,0,0,0,0,0,N,0.7,C,1,,,0.7,,,5,,,,,,,0.7,,0,,,,,,,,,8.74,8.74,0,0,0,0,0,0,0,,,0,0,0,,CCI,28,134,,,,,,,
280,134,5,0,L,1552,WA,COVENTRY,,41.19,0,41.19,0,0,0,0,0,0,0,0,0,0,0,N,2.42,C,1,,,2.42,,,5,,,,,,,2.42,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,28,134,,,,,,,
280,135,1,0,L,1552,LE,BITTESWELL,,127.28,,,,,,0,0,0,0,0,2,0,2,Y,2.37,C,2,,,2.37,,,5,,,,,,,2.37,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,28,135,,,,,,,
280,135,2,0,L,1552,WA,ARLEY,,25.5,,,,,,0,0,0,0,0,1,0,1,Y,1.4,C,1,,,1.4,,,5,,,,,,,1.4,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,28,135,,,,,,,
280,135,3,0,L,1552,WA,ARLEY,,32.77,,,,,,0,0,0,0,0,0,0,0,N,1.33,C,1,,,1.33,,,5,,,,,,,1.33,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,28,135,,,,,,,
280,135,4,0,L,1552,WA,FILLONGLEY,,190.32,52.42,72.87,16.75,0,0,48.25,0,0,0,0,2,0,2,Y,5.71,C,1,,,5.71,,,5,,,,,,,5.71,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,28,135,,,,,,,
280,251,1,0,L,1552,WA,COVENTRY,,63.69,,,,,,0,0,0,0,0,,,,,6.85,V,,,,6.85,140,,5,140,F,,,,,6.85,,0,,,,,,,,,,23.59,,,,,0,0,0,,,,,,,CCI,28,251,,,,23a/2r/14p lammas land,,,
130,647,1,0,L,1553,YE,NORTH CAVE,,684.7,,,,,,0,0,0,0,0,,,,,19.76,V,,,,19.76,,,5,,,,,,,19.76,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,13,647,YW,GIGGLESWICK,,,,,
140,514,1,1,U,1553,HA,ODIHAM,,,,,,,,0,0,0,0,0,,,,,1,M,1,10,,1,,,5,,,,,,,1,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,14,514,,,,,,,
290,982,1,0,L,1553,WA,COVENTRY,,103.81,,,,,,0,0,0,0,0,0,0,0,N,10.78,C,1,,,10.78,,,5,,,,,,,10.78,,0,,,,,,,,,98.27,98.27,,,,0,0,0,0,,,0,0,0,,CCI,29,982,WA,NUNEATON,FREE GRAMMAR SCHOOL,lammas land,,,
310,330,5,0,U,1553,HU,UPTON,,,,,,,,0,0,0,0,0,0,0,0,N,6.5,C,1,,,6.5,,,5,,,,,,,6.5,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,31,330,,,,,,,
310,331,1,0,L,1553,CA,STRETHAM,,15.06,0,15.06,0,0,0,0,0,0,0,0,0,0,0,N,7.5,C,1,,,7.5,,,5,,,,,,,7.5,,0,,,,,,,,,15.06,0,0,15.06,0,0,0,0,0,1837,O,0,0,0,,CCI,31,331,,,,rights of common.  Area alloted to these in 1837 calculated as 15.056 ac.,,,
50,485,1,0,L,1554,DO,HAWKCHURCH,,99.5,,,,,,0,0,0,0,0,,,,,13.33,C,1,,,13.33,266.67,,5,266.67,F,,,,15.12,13.33,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,5,485,SO,TAUNTON,FREE GRAMMAR SCHOOL,,,,
90,564,1,0,L,1554,ST,WALSALL,,297.86,,,,,,0,0,0,0,0,3,0,1,Y,10,C,1,,,10,,,5,,,,,,,10,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,9,564,ST,WALSALL,FREE GRAMMAR SCHOOL,,,,
210,348,1,0,L,1556,NT,HOLME,,9.25,0,0,9.25,0,0,0,0,0,0,0,0,0,0,N,2,V,,,,2,,,5,,,,,,,2,,0,,,,,,,,,9.25,0,0,0,9.25,0,0,0,0,,,0,0,0,,CCI,21,348,,,,,,,
280,135,4,1,L,1556,WA,FILLONGLEY,,190.32,,,,,,0,0,0,0,0,1,0,1,Y,7.26,C,1,,,7.26,,,5,,,,,,,7.26,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,28,136,,,,,,,
325,50,1,0,L,1559,LE,LEICESTER,,3.91,,,,,,0,0,0,0,0,0,0,0,N,,,,,,,5,,5,5,F,1,,,,0.25,,0,,,,,,,,,3.91,0,,,,0,0,0,0,,,0,0,0,,CCI,32.5,50,LE,,,,,,
460,426,83,0,L,1559,YW,BRADFORD,HAWORTH,42,,,,,,0,0,0,0,0,3,0,3,Y,,,,,,,36,,5,36,F,,,,,1.8,,0,,,,,,,,,,0,,,,,0,0,1,,,,,,,CCII,,66,YW,BRADFORD-EXCL BOROUGH,,,,,
290,75,1,0,L,1560,DO,THORNCOMBE,,35.25,,,,,,0,0,0,0,0,0,0,0,N,3.33,M,1,90,60,6.01,,,4.62,,,,,,,6.01,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,29,75,DO,,,,,,
120,438,1,0,L,1562,WI,AMESBURY,,501.98,,,,,,0,0,0,0,0,,,,,14.83,C,1,,,14.83,,,4.62,,,,,,,14.83,,1,,,T,,,,,,,0,,,,,0,0,0,,,,,,,CCI,12,438,HA,WINCHESTER,ST JOHNS HOSP - LAMBS GIFT,,,,
140,453,1,0,L,1562,HA,FORDINGBRIDGE,,5.24,,,,,,0,0,0,0,0,1,0,0,N,0.5,M,1,30,10,1.1,,,4.62,,,,,,,1.1,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,14,453,HA,FORDINGBRIDGE,,,,,
270,259,1,0,,1562,HT,STEVENAGE,,6.62,3.44,1.21,0,0,0,1.98,0,0,0,0,2,0,0,N,,,,,,,37,,4.62,37,F,,,,,1.71,,0,,,,,,,,,3.44,0,3.44,0,0,0,0,0,0,,,0,0,0,,CCI,27,259,HT,,,,,,
321,877,3,0,D,1562,EX,CHRISHALL,,63.75,,,,,,0,0,0,0,0,0,0,0,N,10.72,C,1,,,10.72,,,4.62,,,0,,,,10.72,10.72,0,,,,,,,,,50.57,0,,,,0,0,0,0,,,0,0,0,,CCI,32.1,877,,,,,,,
321,877,4,0,,1562,EX,CHRISHALL,,99.75,88.25,2.5,9,0,0,0,0,0,0,0,0,0,0,N,10.72,C,1,,,10.72,,,4.62,,,,,,,10.72,,0,,,,,,,,,76.75,0,76.75,0,0,0,0,0,0,,,0,0,0,,CCI,32.1,877,,,,,,,
326,92,1,0,L,1562,EX,WEST HAM,,3.11,,,,,,0,0,0,0,3.11,0,0,0,N,2,C,1,,,2,,,4.62,,,,,,,2,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,32.6,92,,,,,,,
10,137,1,0,,1563,KT,ST STEPHEN,,90,,,,,,0,0,0,0,0,0,0,0,N,20,M,1,500,,20,,,4.62,,,,,,,20,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,1,137,KT,,,,,,
240,96,1,0,,1563,HU,GODMANCHESTER,,115,,,,,,0,0,0,0,0,2,0,0,N,20,C,1,,,20,,,4.62,,,,,,,20,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,24,96,,,,customary measure,,,
321,879,1,0,L,1563,EX,CHRISHALL,,60,60,0,0,0,0,0,0,0,0,0,0,0,0,N,4,M,1,300,,4,,,4.62,,,,,,,4,,1,,,T,,,,,,60,0,60,0,0,0,0,0,0,,,0,0,0,,CCI,32.1,879,,,,,,,
140,514,1,2,U,1565,HA,ODIHAM,,,,,,,,0,0,0,0,0,,,,,1,C,1,,,1,,,4.62,,,,,,,1,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,14,514,,,,,,,
170,270,1,0,L,1565,DY,BAKEWELL,,172.5,,,,,,0,0,0,0,0,1,0,,,,,,,,,80,,4.62,80,F,,,,,3.7,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,17,270,,,,,,,
321,211,1,0,,1565,BE,WOKINGHAM,,1.31,0.81,0,0,0,0,0,0,0,0,0,0,0,0,N,,,,,,,1.33,,4.62,1.33,F,,,,,0.06,,0,,,,,,,,,1.31,0,0.81,0,0,0.5,0,0,0,,O,0,0,0,,CCI,32.1,211,BE,WOKINGHAM,,CCII: area,,,
324,688,1,0,L,1565,LI,THEDDLETHORPE ALL SAINTS,,54.41,,,,,,0,0,0,0,0,,,,,11.63,C,1,,,11.63,,,4.62,,,,,,,11.63,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,32.4,688,LI,LOUTH,HARDIE,DIG: area,,,
230,520,1,0,L,1566,SF,CARLTON COLVILLE,,43.73,,,,,,0,0,0,0,0,,,,Y,5,V,,,,5,,,4.62,,,,,,,5,,1,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,23,520,SF,DUNWICH,PAGE,,,,
322,696,1,0,L,1566,OX,SHIPTON UNDER WYCHWOOD,,17,12.36,0,4.64,0,0,0,0,0,0,0,1,0,1,Y,,,,,,,53,,4.62,53,F,,,,,2.45,,0,,,,,,,,,12.36,0,12.36,0,0,0,0,0,1,,,0,0,0,,CCI,32.2,696,,,,,,,
321,625,1,0,L,1570,EX,"COLCHESTER, ALL OTHER",LEXDEN,26.98,,,,,,0,0,0,0,0,0,0,0,N,6,V,,,,6,,,4.62,,,,,,,6,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,32.1,625,EX,ALDHAM,LOVE,,,,
324,688,1,1,L,1570,LI,THEDDLETHORPE ALL SAINTS,,54.41,,,,,,0,0,0,0,0,,,,,12.38,M,1,,,12.38,,,4.62,,,,,,,12.38,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,32.4,689,LI,LOUTH,HARDIE,DIG: area,,,
270,215,1,0,L,1571,EX,BRADFIELD,,182.27,,,,,,0,0,0,0,0,1,0,1,Y,20,V,,,,20,,,4.62,,,,,,,20,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,27,215,EX,DEDHAM,FREE GRAMMAR SCHOOL,,,,
270,226,2,0,L,1571,EX,BRADFIELD,,69.05,,,,,,0,0,0,0,0,1,0,1,Y,3.33,V,,,,3.33,,,4.62,,,,,,,3.33,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,27,226,EX,DEDHAM,ALMSHOUSES-LITTLEBURY,,,,
290,955,1,0,L,1573,WA,KINGSBURY,,112.23,,,,,,0,0,0,0,0,,,,,6.67,C,1,,,6.67,,,4.62,,,,,,,6.67,,1,,,T,,,,,,,0,,,,,0,0,0,,,,,,,CCI,29,955,WA,,,,,,
