name,order,landIncMean,titheIncMean,millIncMean,feeIncMean,almsIncMean,infraIncMean,transferIncMean,courtIncMean,annuityIncMean,educationIncMean,synProxIncMean,glebeIncMean,woodIncMean,unknownIncMean,landExpMean,titheExpMean,millExpMean,feeExpMean,almsExpMean,infraExpMean,transferExpMean,courtExpMean,annuityExpMean,educationExpMean,synProxExpMean,glebeExpMean,woodExpMean,unknownExpMean,year,region,totalInc,totalExp,netInc,depHouse,latitude,longitude,incomplete,landIncSum,titheIncSum,millIncSum,feeIncSum,almsIncSum,infraIncSum,transferIncSum,courtIncSum,annuityIncSum,educationIncSum,synProxIncSum,glebeIncSum,woodIncSum,unknownIncSum,landExpSum,titheExpSum,millExpSum,feeExpSum,almsExpSum,infraExpSum,transferExpSum,courtExpSum,annuityExpSum,educationExpSum,synProxExpSum,glebeExpSum,woodExpSum,unknownExpSum
St Albans Abbey,Benedictine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,2.0,,,504565.75,,51.750453,-0.342246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Augustine's Abbey,Benedictine,7025.5058139534885,,1700.0,,,,479.5,776.0,,,,,230.66666666666666,5972.79347826087,-940.0227272727273,,,-705.304347826087,-754.0,-790.6666666666666,-689.0,,,,,,,-882.01,1538.0,2.0,371738.75,-33417.5,339179.75,,51.2782,1.087644,0.0,302096.75,0.0,6800.0,0.0,0.0,0.0,3836.0,776.0,0.0,0.0,0.0,0.0,692.0,137374.25,-10340.25,0.0,0.0,-16222.0,-754.0,-4744.0,-14469.0,0.0,0.0,0.0,0.0,0.0,0.0,-22050.25
St Bees Priory,Benedictine,444.25,16860.0,,,,,,,,,,,,,,,,-185.0,,,,,,,,,,,1539.0,5.0,35994.0,-1480.0,34514.0,1.0,54.493949,-3.593528,0.0,10662.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Benet's Abbey,Benedictine,2120.699519230769,1293.075,,,,,227.84615384615384,839.1363636363636,,,,,2632.0,292.3333333333333,-165.06521739130434,,,-345.45454545454544,-1424.0,,-784.1666666666666,,-880.0,,-156.75,,,-133.0,1539.0,1.0,162608.125,-22483.5,140124.625,,52.68639999999999,1.5247,0.0,110276.375,25861.5,0.0,0.0,0.0,0.0,2962.0,18461.0,0.0,0.0,0.0,0.0,2632.0,877.0,-3796.5,0.0,0.0,-7600.0,-1424.0,0.0,-7057.5,0.0,-1760.0,0.0,-313.5,0.0,0.0,-532.0
"St Edmund's Priory, Cambridge",Gilbertine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,1.0,,,3584.5,,52.175011,0.138846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"St George's Priory, Thetford Nunnery",Benedictine,330.3478260869565,271.0,,,,,3320.0,10.5,,,,,,364.0,-38.92857142857143,,,-272.0,,,-1280.0,-13.0,,,,,,,1537.0,1.0,,,9734.5,,52.40592699999999,0.7521989999999998,0.0,7598.0,813.0,0.0,0.0,0.0,0.0,3320.0,21.0,0.0,0.0,0.0,0.0,0.0,364.0,-272.5,0.0,0.0,-816.0,0.0,0.0,-1280.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0
"St Helen's Priory, Bishopsgate",Benedictine,9697.333333333334,2640.0,,,,,,,,,,,60.0,,-122.8076923076923,,,-994.6666666666666,-280.0,,-1188.5714285714287,,,,-128.0,,,-17.0,1538.0,2.0,90312.0,-13323.5,76988.5,,51.514769,-0.082363,0.0,87276.0,2640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,-1596.5,0.0,0.0,-2984.0,-280.0,0.0,-8320.0,0.0,0.0,0.0,-128.0,0.0,0.0,-17.0
"St Martin's Priory, Richmond",Benedictine,198.28571428571428,50.0,160.0,,,,306.5,,,,,,,,,,,-320.0,-252.0,,-72.0,,,,,,,,1539.0,5.0,11472.0,-964.0,10520.0,1.0,54.401826,-1.728652,0.0,2776.0,50.0,160.0,0.0,0.0,0.0,6130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.0,-252.0,0.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Mary Graces,Cistercian,6709.925,1489.3333333333333,4810.0,,,,800.0,,,,,,336.0,,-255.9,,,-684.0,-840.0,,-683.6,,-480.0,,,,,-210.0,1538.0,2.0,144622.5,-13336.0,131286.5,1.0,51.509297,-0.072055,0.0,134198.5,4468.0,4810.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,-5118.0,0.0,0.0,-3420.0,-840.0,0.0,-3418.0,0.0,-480.0,0.0,0.0,0.0,0.0,-420.0
St Mary Magdalene's Priory,Benedictine,733.6666666666666,,,,,,192.375,,,,,,,,-100.0,,,-280.0,,,,,,,,,,,1539.0,4.0,6255.0,-660.0,5595.0,1.0,53.229954,-0.519876,0.0,4402.0,0.0,0.0,0.0,0.0,0.0,1539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,-560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
