almsExpMean,almsExpSum,almsIncMean,almsIncSum,annuityExpMean,annuityExpSum,annuityIncMean,annuityIncSum,county,courtExpMean,courtExpSum,courtIncMean,courtIncSum,depHouse,educationExpMean,educationExpSum,educationIncMean,educationIncSum,feeExpMean,feeExpSum,feeIncMean,feeIncSum,founded,incomplete,infraExpMean,infraExpSum,infraIncMean,infraIncSum,ladyHouse,landExpMean,landExpSum,landIncMean,landIncSum,latitude,longitude,millExpMean,millExpSum,millIncMean,millIncSum,name,netInc,order,originalFoundation,pt,region,rurHouse,selected,subHouse,subPop,survival,synProxExpMean,synProxExpSum,synProxIncMean,synProxIncSum,titheExpMean,titheExpSum,titheIncMean,titheIncSum,totalExp,totalInc,transferExpMean,transferExpSum,transferIncMean,transferIncSum,unknownExpMean,unknownExpSum,unknownIncMean,unknownIncSum,urbHouse,urbPop,year,diss1536
-940.0,-940.0,,0.0,,0.0,,0.0,"YORKSHIRE, NORTH RIDING",,0.0,,0.0,,,0.0,,0.0,-320.0,-960.0,,0.0,1197.0,0.0,,0.0,,0.0,0.0,-119.77272727272727,-1317.5,990.3076923076923,12874.0,54.53125899999999,-1.9051149999999997,,0.0,,0.0,Egglestone Abbey,6339.0,Premonstratensian,,POINT (406238.8141403938 515112.1016498894),5.0,1.0,1.0,0,0.0,4.0,,0.0,,0.0,,0.0,930.6666666666666,2792.0,-6939.0,15666.0,-465.3125,-3722.5,,0.0,,0.0,,0.0,0,0.0,1540.0,0
,0.0,,0.0,,0.0,,0.0,"YORKSHIRE, EAST RIDING",,0.0,,0.0,,,0.0,,0.0,-400.0,-800.0,,0.0,1200.0,0.0,,0.0,,0.0,0.0,-270.0,-810.0,882.25,14116.0,53.850972,-0.935333,,0.0,,0.0,Ellerton Priory,14986.0,Gilbertine,,POINT (470136.3475933871 439938.2520455178),5.0,1.0,,0,0.0,2.0,,0.0,,0.0,,0.0,1600.0,4800.0,-3744.0,18730.0,-691.3333333333334,-2074.0,,0.0,,0.0,,0.0,0,0.0,1538.0,0
,0.0,,0.0,,0.0,,0.0,"YORKSHIRE, NORTH RIDING",,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1160.0,0.0,,0.0,,0.0,1.0,-16.666666666666668,-50.0,343.27272727272725,3776.0,54.371889,-1.879194,,0.0,,0.0,Ellerton in Swaledale Priory,3726.0,Cistercian,,POINT (407946.4565073701 497381.111310389),5.0,1.0,,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,-50.0,3776.0,,0.0,,0.0,,0.0,,0.0,0,0.0,1536.0,1
,0.0,,0.0,,0.0,,0.0,LINCOLNSHIRE,,0.0,24.0,24.0,,,0.0,,0.0,-250.0,-1000.0,,0.0,1166.0,0.0,,0.0,,0.0,0.0,-137.84615384615384,-1792.0,664.4545454545455,14618.0,53.599297,-0.436729,,0.0,,0.0,Elsham Priory,16808.0,Augustinian,,POINT (503550.3660849381 412547.6011123704),4.0,1.0,1.0,0,0.0,0.0,-270.0,-270.0,,0.0,,0.0,1300.0,5200.0,-3326.0,20134.0,-264.0,-264.0,,0.0,,0.0,116.0,232.0,0,0.0,1536.0,1
,0.0,,0.0,,0.0,,0.0,"YORKSHIRE, WEST RIDING",,0.0,,0.0,,,0.0,,0.0,-200.0,-400.0,,0.0,1189.0,0.0,,0.0,,0.0,1.0,-24.0,-24.0,913.6,4568.0,53.852922,-1.714608,,0.0,,0.0,Esholt Priory,3184.0,Cistercian,,POINT (418871.5933920516 439668.2917120298),5.0,1.0,,0,0.0,3.0,,0.0,,0.0,,0.0,,0.0,-1384.0,4568.0,-960.0,-960.0,,0.0,,0.0,,0.0,0,0.0,1539.0,0
,0.0,,0.0,,0.0,,0.0,DURHAM,,0.0,,0.0,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,55.616568,-1.655133,,0.0,,0.0,Farne Abbey,3092.0,Benedictine,,POINT (421821.3072992499 635940.4125829763),5.0,1.0,1.0,0,0.0,2.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,618.4,3092.0,0,0.0,1538.0,0
-2600.0,-2600.0,,0.0,,0.0,,0.0,DURHAM,,0.0,,0.0,1.0,,0.0,,0.0,-424.0,-2120.0,,0.0,1196.0,0.0,,0.0,,0.0,0.0,-362.3333333333333,-1087.0,874.9230769230769,11374.0,54.818277,-1.54058,,0.0,260.0,520.0,Finchale Abbey,29463.0,Benedictine,,POINT (429620.6604190918 547142.9513625051),5.0,1.0,,0,0.0,-1.0,,0.0,,0.0,,0.0,7280.0,14560.0,-5807.0,35270.0,,0.0,,0.0,,0.0,2120.0,4240.0,0,0.0,1535.0,0
,0.0,,0.0,,0.0,,0.0,LINCOLNSHIRE,,0.0,,0.0,,,0.0,,0.0,-120.0,-120.0,,0.0,,0.0,,0.0,,0.0,1.0,-22.0,-22.0,501.3333333333333,1504.0,53.3,-0.74,,0.0,,0.0,Fosse Priory,1722.0,Cistercian,,POINT (484069.7637362479 378854.1276984008),4.0,1.0,,0,0.0,3.0,-120.0,-120.0,,0.0,-480.0,-480.0,,0.0,-262.0,1984.0,,0.0,,0.0,,0.0,,0.0,0,0.0,1539.0,0
-4860.0,-4860.0,,0.0,,0.0,,0.0,"YORKSHIRE, WEST RIDING",-44.0,-44.0,120.0,120.0,,,0.0,,0.0,-400.258064516129,-12408.0,,0.0,1132.0,0.0,,0.0,,0.0,0.0,-389.2258064516129,-12066.0,1689.2072368421052,256759.5,54.109931,-1.581182,,0.0,,0.0,Fountains Abbey,214792.5,Cistercian,,POINT (427479.815870623 468307.3612422856),5.0,1.0,1.0,0,0.0,3.0,,0.0,,0.0,,0.0,9080.0,18160.0,-42735.0,263367.5,-2222.1666666666665,-13333.0,,0.0,-24.0,-24.0,6400.0,6400.0,0,0.0,1539.0,0
-1040.0,-1040.0,,0.0,,0.0,,0.0,LANCASHIRE,,0.0,1936.0,1936.0,1.0,,0.0,,0.0,-794.6,-15892.0,,0.0,1127.0,0.0,,0.0,,0.0,0.0,-446.6666666666667,-4020.0,1242.5972222222222,178934.0,54.135859,-3.198288,,0.0,1750.0,5250.0,Furness Abbey,193397.0,Cistercian,,POINT (321805.7531609035 471775.7525927424),5.0,1.0,1.0,0,0.0,1.0,,0.0,,0.0,,0.0,8498.4,42492.0,-33737.0,227134.0,-2184.1666666666665,-13105.0,1440.0,1440.0,,0.0,656.0,1968.0,0,0.0,1537.0,0
