,city,year,population,latitude,longitude
1022,Chatham,1000.0,1.0,51.37,0.52
1023,Chatham,1100.0,1.0,51.37,0.52
1024,Chatham,1200.0,1.0,51.37,0.52
1025,Chatham,1300.0,1.0,51.37,0.52
1026,Chatham,1400.0,1.0,51.37,0.52
1027,Chatham,1500.0,1.0,51.37,0.52
1028,Chatham,1550.0,1.0,51.37,0.52
1029,Chatham,1600.0,1.0,51.37,0.52
1030,Chatham,1650.0,2.0,51.37,0.52
1031,Chatham,1700.0,5.0,51.37,0.52
1032,Chatham,1750.0,5.0,51.37,0.52
1033,Chatham,1800.0,22.0,51.37,0.52
1034,Chatham,1850.0,49.0,51.37,0.52
1035,Chatham,1900.0,37.0,51.37,0.52
1036,Chatham,1950.0,51.0,51.37,0.52
1037,Chatham,2000.0,71.0,51.37,0.52
1046,Chelmsford,700.0,0.0,51.7361,0.4798
1047,Chelmsford,800.0,0.0,51.7361,0.4798
1048,Chelmsford,900.0,0.0,51.7361,0.4798
1049,Chelmsford,1000.0,0.0,51.7361,0.4798
1050,Chelmsford,1100.0,0.0,51.7361,0.4798
1051,Chelmsford,1200.0,1.0,51.7361,0.4798
1052,Chelmsford,1300.0,1.0,51.7361,0.4798
1053,Chelmsford,1400.0,1.0,51.7361,0.4798
1054,Chelmsford,1500.0,1.0,51.7361,0.4798
1055,Chelmsford,1550.0,2.0,51.7361,0.4798
1056,Chelmsford,1600.0,2.0,51.7361,0.4798
1057,Chelmsford,1650.0,2.0,51.7361,0.4798
1058,Chelmsford,1700.0,3.0,51.7361,0.4798
1059,Chelmsford,1750.0,3.0,51.7361,0.4798
1060,Chelmsford,1800.0,4.0,51.7361,0.4798
1061,Chelmsford,1850.0,7.0,51.7361,0.4798
1062,Chelmsford,1900.0,13.0,51.7361,0.4798
1063,Chelmsford,1950.0,36.0,51.7361,0.4798
1064,Chelmsford,2000.0,100.0,51.7361,0.4798
1066,Cheltenham,700.0,0.0,51.9,-2.0667
1067,Cheltenham,800.0,0.0,51.9,-2.0667
1068,Cheltenham,900.0,0.0,51.9,-2.0667
1069,Cheltenham,1000.0,0.0,51.9,-2.0667
1070,Cheltenham,1100.0,0.0,51.9,-2.0667
1071,Cheltenham,1200.0,1.0,51.9,-2.0667
1072,Cheltenham,1300.0,1.0,51.9,-2.0667
1073,Cheltenham,1400.0,1.0,51.9,-2.0667
1074,Cheltenham,1500.0,1.0,51.9,-2.0667
1075,Cheltenham,1550.0,1.0,51.9,-2.0667
1076,Cheltenham,1600.0,1.0,51.9,-2.0667
1077,Cheltenham,1650.0,1.0,51.9,-2.0667
1078,Cheltenham,1700.0,2.0,51.9,-2.0667
1079,Cheltenham,1750.0,2.0,51.9,-2.0667
1080,Cheltenham,1800.0,3.0,51.9,-2.0667
1081,Cheltenham,1850.0,35.0,51.9,-2.0667
1082,Cheltenham,1900.0,49.0,51.9,-2.0667
1083,Cheltenham,1950.0,75.0,51.9,-2.0667
1084,Cheltenham,2000.0,116.0,51.9,-2.0667
1090,Chester,700.0,2.0,53.19,-2.89
1091,Chester,800.0,2.0,53.19,-2.89
1092,Chester,900.0,2.0,53.19,-2.89
1093,Chester,1000.0,3.0,53.19,-2.89
1094,Chester,1100.0,3.0,53.19,-2.89
1095,Chester,1200.0,3.0,53.19,-2.89
1096,Chester,1300.0,4.0,53.19,-2.89
1097,Chester,1400.0,3.0,53.19,-2.89
1098,Chester,1500.0,4.0,53.19,-2.89
1099,Chester,1550.0,5.0,53.19,-2.89
1100,Chester,1600.0,6.0,53.19,-2.89
1101,Chester,1650.0,5.0,53.19,-2.89
1102,Chester,1700.0,5.0,53.19,-2.89
1103,Chester,1750.0,13.0,53.19,-2.89
1104,Chester,1800.0,15.0,53.19,-2.89
1105,Chester,1850.0,28.0,53.19,-2.89
1106,Chester,1900.0,38.0,53.19,-2.89
1107,Chester,1950.0,59.0,53.19,-2.89
1108,Chester,2000.0,91.0,53.19,-2.89
1130,Chichester,700.0,1.0,50.8365,-0.7792
1131,Chichester,800.0,1.0,50.8365,-0.7792
1132,Chichester,900.0,1.0,50.8365,-0.7792
1133,Chichester,1000.0,1.0,50.8365,-0.7792
1134,Chichester,1100.0,2.0,50.8365,-0.7792
1135,Chichester,1200.0,2.0,50.8365,-0.7792
1136,Chichester,1300.0,2.0,50.8365,-0.7792
1137,Chichester,1400.0,1.0,50.8365,-0.7792
1138,Chichester,1500.0,2.0,50.8365,-0.7792
1139,Chichester,1550.0,2.0,50.8365,-0.7792
1140,Chichester,1600.0,2.0,50.8365,-0.7792
1141,Chichester,1650.0,3.0,50.8365,-0.7792
1142,Chichester,1700.0,3.0,50.8365,-0.7792
1143,Chichester,1750.0,4.0,50.8365,-0.7792
1144,Chichester,1800.0,5.0,50.8365,-0.7792
1145,Chichester,1850.0,9.0,50.8365,-0.7792
1146,Chichester,1900.0,12.0,50.8365,-0.7792
1147,Chichester,1950.0,17.0,50.8365,-0.7792
1148,Chichester,2000.0,24.0,50.8365,-0.7792
1215,Colchester,700.0,1.0,51.8917,0.903
1216,Colchester,800.0,2.0,51.8917,0.903
1217,Colchester,900.0,2.0,51.8917,0.903
1218,Colchester,1000.0,2.0,51.8917,0.903
1219,Colchester,1100.0,3.0,51.8917,0.903
1220,Colchester,1200.0,5.0,51.8917,0.903
