almsExpMean,almsExpSum,almsIncMean,almsIncSum,annuityExpMean,annuityExpSum,annuityIncMean,annuityIncSum,county,courtExpMean,courtExpSum,courtIncMean,courtIncSum,depHouse,educationExpMean,educationExpSum,educationIncMean,educationIncSum,feeExpMean,feeExpSum,feeIncMean,feeIncSum,founded,incomplete,infraExpMean,infraExpSum,infraIncMean,infraIncSum,ladyHouse,landExpMean,landExpSum,landIncMean,landIncSum,latitude,longitude,millExpMean,millExpSum,millIncMean,millIncSum,name,netInc,order,originalFoundation,pt,region,rurHouse,selected,subHouse,subPop,survival,synProxExpMean,synProxExpSum,synProxIncMean,synProxIncSum,titheExpMean,titheExpSum,titheIncMean,titheIncSum,totalExp,totalInc,transferExpMean,transferExpSum,transferIncMean,transferIncSum,unknownExpMean,unknownExpSum,unknownIncMean,unknownIncSum,urbHouse,urbPop,year,diss1536
,0.0,,0.0,,0.0,,0.0,DERBYSHIRE,,0.0,,0.0,,,0.0,,0.0,-320.0,-320.0,,0.0,1250.0,0.0,,0.0,,0.0,0.0,-80.0,-80.0,308.0,1848.0,52.96876699999999,-1.435672,,0.0,,0.0,Breadsall Priory,2613.0,Augustinian,,POINT (437997.5878587724 341414.3484926081),4.0,1.0,1.0,0,0.0,0.0,,0.0,,0.0,,0.0,1280.0,1280.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1536.0,1
,0.0,,0.0,,0.0,,0.0,LEICESTERSHIRE,,0.0,,0.0,,,0.0,,0.0,-80.0,-80.0,,0.0,1118.0,0.0,,0.0,,0.0,0.0,,0.0,328.0,1312.0,52.806089,-1.399961,,0.0,,0.0,Breedon Priory,5884.0,Augustinian,731.0,POINT (440546.7015856305 323337.3423058866),4.0,1.0,1.0,0,0.0,3.0,-133.0,-133.0,,0.0,,0.0,582.8571428571429,4080.0,,,,0.0,,0.0,,0.0,705.0,705.0,0,0.0,1539.0,0
,0.0,,0.0,,0.0,,0.0,NORFOLK,,0.0,232.84375,1862.75,,,0.0,,0.0,-305.0,-1830.0,,0.0,1113.0,0.0,,0.0,,0.0,0.0,-1224.9285714285713,-8574.5,915.4130434782609,21054.5,52.844479,1.487463,,0.0,,0.0,Bromholm Priory,24063.25,Benedictine,,POINT (634948.7643253206 333136.8367238094),1.0,1.0,1.0,0,0.0,0.0,-168.0,-336.0,,0.0,,0.0,665.3095238095239,13971.5,-13126.0,37189.25,-590.0,-2360.0,,0.0,-25.5,-25.5,288.5,288.5,0,0.0,1536.0,1
,0.0,,0.0,,0.0,,0.0,OXFORDSHIRE,,0.0,,0.0,1.0,,0.0,,0.0,-546.6666666666666,-3280.0,,0.0,1147.0,0.0,,0.0,,0.0,0.0,-176.0,-1056.0,964.7948717948718,37627.0,51.867,-1.636,,0.0,240.0,240.0,Bruern Abbey,32290.0,Cistercian,,POINT (425159.3623336081 218775.2316353532),2.0,1.0,1.0,0,0.0,0.0,-80.0,-80.0,,0.0,,0.0,160.0,160.0,-4624.0,36766.0,,0.0,,0.0,,0.0,,0.0,0,0.0,1536.0,1
-24.0,-24.0,,0.0,,0.0,,0.0,SUFFOLK,,0.0,8.0,8.0,,,0.0,,0.0,-413.3333333333333,-2480.0,,0.0,1366.0,0.0,,0.0,,0.0,1.0,-89.95,-1799.0,1067.0384615384614,13871.5,52.244456,1.4174670000000003,,0.0,,0.0,Bruisyard Abbey,13465.0,Franciscan,,POINT (633398.1086179137 266197.7360537957),1.0,1.0,1.0,0,0.0,3.0,-92.0,-92.0,,0.0,,0.0,1321.6666666666667,3965.0,,,-126.28571428571429,-884.0,,0.0,,0.0,,0.0,0,0.0,1539.0,0
-3920.0,-3920.0,,0.0,,0.0,,0.0,SOMERSET,,0.0,387.1111111111111,3484.0,,,0.0,,0.0,-416.94117647058823,-7088.0,,0.0,1142.0,0.0,,0.0,,0.0,0.0,-172.0,-516.0,4106.029411764706,69802.5,51.111113,-2.45184,,0.0,,0.0,Bruton Abbey,105440.0,Augustinian,,POINT (368465.9903525744 134744.4071094952),3.0,1.0,1.0,0,0.0,3.0,-289.25,-1157.0,,0.0,,0.0,3785.4545454545455,41640.0,-9966.0,115406.0,-1150.0,-9200.0,184.0,1104.0,-16.0,-32.0,765.0,6120.0,0,0.0,1539.0,0
,0.0,,0.0,-720.0,-720.0,,0.0,DEVON,,0.0,741.7692307692307,9643.0,1.0,,0.0,,0.0,-341.3333333333333,-3072.0,,0.0,1018.0,0.0,,0.0,,0.0,0.0,-360.0,-360.0,2131.412162162162,78862.25,50.49298399999999,-3.775765,-24.0,-24.0,731.4285714285714,5120.0,Buckfast Abbey,111973.75,Cistercian,,POINT (274140.0425565946 67416.56588218693),3.0,1.0,1.0,0,0.0,2.0,,0.0,,0.0,,0.0,4998.333333333333,14995.0,,,-1653.3333333333333,-4960.0,299.2,1496.0,,0.0,544.9166666666666,1634.75,0,0.0,1538.0,0
-1120.0,-1120.0,,0.0,,0.0,,0.0,BUCKINGHAMSHIRE,,0.0,486.0,486.0,,,0.0,,0.0,-432.0,-2160.0,,0.0,1266.0,0.0,,0.0,,0.0,1.0,-204.3125,-1634.5,1800.1666666666667,16201.5,51.515594,-0.660624,-176.0,-176.0,160.0,160.0,Burnham Abbey,12269.25,Augustinian,,POINT (493034.2684975984 180479.8788340309),2.0,,1.0,1,1.0,3.0,-116.625,-233.25,,0.0,,0.0,1528.0,4584.0,-9643.25,21911.5,-1080.0,-4320.0,,0.0,,0.0,240.0,480.0,0,0.0,1539.0,0
,0.0,,0.0,,0.0,,0.0,SOMERSET,,0.0,,0.0,,,0.0,,0.0,-40.0,-40.0,,0.0,1270.0,0.0,,0.0,,0.0,0.0,-2.0,-2.0,732.0,1464.0,51.1713,-2.8729999999999998,,0.0,,0.0,Burtle Moor,1502.0,Augustinian,,POINT (339063.4887256951 141703.0133871258),3.0,1.0,1.0,0,0.0,0.0,,0.0,,0.0,,0.0,80.0,80.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1536.0,1
,0.0,,0.0,,0.0,,0.0,"YORKSHIRE, NORTH RIDING",,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1147.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,54.203499,-1.158693,,0.0,,0.0,Byland Abbey,57232.0,Cistercian,,POINT (454977.4148113366 478963.9707041119),5.0,1.0,1.0,0,0.0,3.0,,0.0,,0.0,,0.0,,0.0,-13632.0,70864.0,,0.0,,0.0,,0.0,,0.0,0,0.0,1539.0,0
