name,diocese,town,region,order,typeHouse,members,year,latitude,longitude,mother hou,NAnetInc,lnInc,survival,bigOrder,smallOrder,bigHouse,smallHouse,rebel,distLond,ladyHouse,ladyInc,county,founded,foundedSource
Kirkstead Abbey,,Kirkstead,6,Cistercian,,Monks,1537,53.138463,-0.223131,Fountains,286,5.655991811,1,1,0,1,0,1,1.631846578,0,0,LINCOLNSHIRE,,
Knaresborough Priory,,,3,Augustinian,Trinitarian,Friars,1538,53.995923,-1.457086,,35,3.555348061,2,1,0,0,1,1,2.823596407,0,0,"YORKSHIRE, WEST RIDING",1257,https://www.british-history.ac.uk/vch/yorks/vol3/pp296-300#fnn66
Kyme Priory,,,6,Augustinian,,Canons,1539,53.032601,-0.258822,,101,4.615120517,3,1,0,0,1,1,1.529090084,0,0,LINCOLNSHIRE,,
Lacock Abbey,,Lacock,8,Augustinian,,Canonesses,1539,51.415006,-2.11721,,168,5.123963979,3,1,0,0,1,0,2.001365697,1,168,WILTSHIRE,,
Lambley Priory,,Lambley upon Tyne,2,Benedictine,,Nuns,1537,54.927768,-2.50959,,5,1.609437912,1,1,0,0,1,1,4.171374177,1,5,NORTHUMBERLAND,,
Lancaster Friary,,Lancaster,1,Dominican,,Friars,1539,54.04827,-2.79737,York,,,3,0,1,0,1,1,3.690704855,0,,LANCASHIRE,,
Lanercost Priory,,Burtholme,1,Augustinian,,Canons,1537,54.965772,-2.695365,,77,4.343805422,1,1,0,0,1,1,4.310992345,0,0,CUMBERLAND,1169,https://www.british-history.ac.uk/vch/cumb/vol2/pp152-161
Langdon Abbey,,Dover,9,Premonstratensian,,Canons,1535,51.174491,1.326782,,56,4.025351691,-1,0,1,0,1,0,1.483324065,0,0,KENT,,
Langley Abbey,,,7,Premonstratensian,,Canons,1536,52.572177,1.485601,,104,4.644390899,0,0,1,0,1,0,1.923558389,0,0,NORFOLK,,
Langley Priory,,Langley,6,Benedictine,,Nuns,1536,52.807696,-1.358275,,29,3.36729583,0,1,0,0,1,0,1.795006668,1,29,LEICESTERSHIRE,,
