Grid-cell,Longitude,Latitude,pdsi_1535,pdsi_1536,pdsi_1535x1536,pdsi_avg_1yr,pdsi_ext_1yr,pdsi_avg_2yr,pdsi_ext_2yr,pdsi_avg_3yr,pdsi_ext_3yr,pdsi_avg_5yr,pdsi_ext_5yr,pdsi_avg_10yr,pdsi_ext_10yr,bng_x,bng_y
4013,42.75,62.25,-0.244,-1.115,0.27205999999999997,1.115,1.115,0.6795,0.6795,-0.010999999999999973,0.9169999999999999,0.8188000000000001,1.3756,0.9479999999999998,1.2319999999999998,2575495.0612186915,2184633.30577967
4014,43.25,62.25,3.488,2.568,8.957184,-2.568,2.568,-3.028,3.028,-3.439666666666666,3.439666666666666,-1.7052,2.4224,-0.3766,1.6872,2596090.7389753712,2202863.5063494854
4015,43.75,62.25,1.726,-0.237,-0.409062,0.237,0.237,-0.7444999999999999,0.9815,-1.5586666666666666,1.7166666666666668,-0.21119999999999992,1.7540000000000002,0.41740000000000005,1.4838,2616549.221336189,2221291.1808654503
4016,44.25,62.25,4.184,3.087,12.916008000000001,-3.087,3.087,-3.6355000000000004,3.6355000000000004,-3.4726666666666666,3.4726666666666666,-1.2766,2.8906,-0.5269,1.9353000000000002,2636868.3479411616,2239915.7498511565
4017,44.75,62.25,-2.467,-2.652,6.542484000000001,2.652,2.652,2.5595,2.5595,1.4406666666666668,1.9720000000000002,1.7631999999999999,2.082,1.8600999999999999,2.0195,2657045.94579619,2258736.6053904667
4018,7.25,62.75,-4.094,-0.87,3.56178,0.87,0.87,2.482,2.482,2.366,2.366,1.1588,1.6804,1.3932999999999998,1.8221,871294.9461238086,1464069.2522144776
4019,7.75,62.75,2.776,2.324,6.451423999999999,-2.324,2.324,-2.55,2.55,-2.2076666666666664,2.2076666666666664,-0.6706,1.9786000000000001,0.04660000000000011,1.456,896629.5143447998,1467838.3278962485
4020,8.25,62.75,2.626,0.824,2.163824,-0.824,0.824,-1.7249999999999999,1.7249999999999999,-1.997333333333333,1.997333333333333,-0.9309999999999998,1.4657999999999998,-0.014899999999999969,1.4909,921941.6769532198,1471806.2507235166
4021,8.75,62.75,0.661,-0.773,-0.510953,0.773,0.773,0.055999999999999994,0.7170000000000001,-0.6960000000000001,1.2113333333333334,0.05700000000000001,1.2014,0.7686,1.4368,947230.2418535384,1475973.0895008838
4022,9.25,62.75,-0.175,-0.32,0.055999999999999994,0.32,0.32,0.2475,0.2475,-0.3003333333333333,0.6303333333333333,0.2526,0.8109999999999999,0.9727,1.2519000000000002,972494.0105389336,1480338.915411169
